observatie,datum,property,waarde,eenheid,locatie,procedure
http://example.org/peilmeting_2024-12-15filterstatus,2024-12-15,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2024-12-15zoet,2024-12-15,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2024-12-15filtertoestand,2024-12-15,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2024-12-15peil_mtaw,2024-12-15,http://example.org/peil_mtaw,8.51,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/automatischesonde_methode
http://example.org/peilmeting_2024-12-15diepte_tov_referentiepunt,2024-12-15,http://example.org/diepte_tov_referentiepunt,1.27,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/automatischesonde_methode
http://example.org/peilmeting_2014-03-13filtertoestand,2014-03-13,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2014-03-13zoet,2014-03-13,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2014-03-13filterstatus,2014-03-13,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2014-03-13peil_mtaw,2014-03-13,http://example.org/peil_mtaw,8.75,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2014-03-13diepte_tov_referentiepunt,2014-03-13,http://example.org/diepte_tov_referentiepunt,1.03,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
