station,jaar,periode,erosiviteit
KMI_6408,2002,1,1.39
KMI_6408,2002,2,2.21
KMI_6408,2002,3,4.38
KMI_6408,2002,4,2.81
KMI_6408,2002,5,1.07
KMI_6408,2002,6,8.01
KMI_6408,2002,7,1.93
KMI_6408,2002,8,646.38
KMI_6408,2002,9,6.69
KMI_6408,2002,10,3.55
KMI_6408,2002,11,46.4
KMI_6408,2002,12,16.7
KMI_6408,2002,13,49.89
KMI_6408,2002,14,10.36
KMI_6408,2002,15,1399.64
KMI_6408,2002,16,89.75
KMI_6408,2002,17,248.54
KMI_6408,2002,18,14.88
KMI_6408,2002,19,8.98
KMI_6408,2002,20,26.7
KMI_6408,2002,21,39.72
KMI_6408,2002,22,5.47
KMI_6408,2002,23,10.46
KMI_6408,2002,24,55.82
KMI_6408,2003,1,12.11
KMI_6408,2003,2,8.24
KMI_6408,2003,3,1.74
KMI_6408,2003,4,2.17
KMI_6408,2003,5,1.31
KMI_6408,2003,6,0.0
KMI_6408,2003,7,0.69
KMI_6408,2003,8,16.99
KMI_6408,2003,9,27.48
KMI_6408,2003,10,10.31
KMI_6408,2003,11,313.09
KMI_6408,2003,12,12.98
KMI_6408,2003,13,7.82
KMI_6408,2003,14,22.41
KMI_6408,2003,15,0.0
KMI_6408,2003,16,106.96
KMI_6408,2003,17,4.57
KMI_6408,2003,18,6.03
KMI_6408,2003,19,23.37
KMI_6408,2003,20,22.88
KMI_6408,2003,21,3.8
KMI_6408,2003,22,11.36
KMI_6408,2003,23,6.07
KMI_6408,2003,24,30.77
KMI_6408,2004,1,32.77
KMI_6408,2004,2,3.0
KMI_6408,2004,3,15.48
KMI_6408,2004,4,1.61
KMI_6408,2004,5,2.47
KMI_6408,2004,6,0.15
KMI_6408,2004,7,10.74
KMI_6408,2004,8,46.78
KMI_6408,2004,9,5.18
KMI_6408,2004,10,1.31
KMI_6408,2004,11,9.61
KMI_6408,2004,12,32.91
KMI_6408,2004,13,29.33
KMI_6408,2004,14,142.62
KMI_6408,2004,15,185.42
KMI_6408,2004,16,22.66
KMI_6408,2004,17,14.72
KMI_6408,2004,18,0.0
KMI_6408,2004,19,0.11
KMI_6408,2004,20,57.56
KMI_6408,2004,21,18.67
KMI_6408,2004,22,72.92
KMI_6408,2004,23,0.0
KMI_6408,2004,24,35.23
KMI_6408,2005,1,1.39
KMI_6408,2005,2,8.77
KMI_6408,2005,3,8.2
KMI_6408,2005,4,4.82
KMI_6408,2005,5,12.85
KMI_6408,2005,6,6.96
KMI_6408,2005,7,34.31
KMI_6408,2005,8,13.26
KMI_6408,2005,9,188.24
KMI_6408,2005,10,22.79
KMI_6408,2005,11,226.42
KMI_6408,2005,12,161.71
KMI_6408,2005,13,182.62
KMI_6408,2005,14,13.37
KMI_6408,2005,15,38.35
KMI_6408,2005,16,33.55
KMI_6408,2005,17,8.97
KMI_6408,2005,18,13.63
KMI_6408,2005,19,15.09
KMI_6408,2005,20,25.76
KMI_6408,2005,21,2.65
KMI_6408,2005,22,53.67
KMI_6408,2005,23,18.42
KMI_6408,2005,24,6.53
KMI_6414,2004,1,96.28
KMI_6414,2004,2,11.3
KMI_6414,2004,3,23.91
KMI_6414,2004,4,2.08
KMI_6414,2004,5,13.08
KMI_6414,2004,6,18.28
KMI_6414,2004,7,9.79
KMI_6414,2004,8,34.75
KMI_6414,2004,9,9.01
KMI_6414,2004,10,5.69
KMI_6414,2004,11,37.64
KMI_6414,2004,12,95.13
KMI_6414,2004,13,46.69
KMI_6414,2004,14,101.1
KMI_6414,2004,15,757.92
KMI_6414,2004,16,39.69
KMI_6414,2004,17,8.02
KMI_6414,2004,18,1.7
KMI_6414,2004,19,7.1
KMI_6414,2004,20,9.31
KMI_6414,2004,21,5.08
KMI_6414,2004,22,14.21
KMI_6414,2004,23,0.0
KMI_6414,2004,24,64.42
KMI_6414,2005,1,3.29
KMI_6414,2005,2,8.64
KMI_6414,2005,3,13.86
KMI_6414,2005,4,8.86
KMI_6414,2005,5,4.78
KMI_6414,2005,6,3.87
KMI_6414,2005,7,8.73
KMI_6414,2005,8,5.53
KMI_6414,2005,9,139.72
KMI_6414,2005,10,29.78
KMI_6414,2005,11,35.6
KMI_6414,2005,12,47.08
KMI_6414,2005,13,1969.33
KMI_6414,2005,14,9.91
KMI_6414,2005,15,126.5
KMI_6414,2005,16,447.88
KMI_6414,2005,17,24.24
KMI_6414,2005,18,13.45
KMI_6414,2005,19,7.58
KMI_6414,2005,20,18.52
KMI_6414,2005,21,5.51
KMI_6414,2005,22,33.18
KMI_6414,2005,23,4.22
KMI_6414,2005,24,12.78
KMI_6414,2006,1,1.25
KMI_6414,2006,2,5.16
KMI_6414,2006,3,24.33
KMI_6414,2006,4,21.74
KMI_6414,2006,5,9.94
KMI_6414,2006,6,85.45
KMI_6414,2006,7,10.58
KMI_6414,2006,8,7.95
KMI_6414,2006,9,18.75
KMI_6414,2006,10,129.14
KMI_6414,2006,11,18.66
KMI_6414,2006,12,1.76
KMI_6414,2006,13,0.0
KMI_6414,2006,14,117.99
KMI_6414,2006,15,479.48
KMI_6414,2006,16,85.59
KMI_6414,2006,17,0.08
KMI_6414,2006,18,7.4
KMI_6414,2006,19,36.7
KMI_6414,2006,20,65.55
KMI_6414,2006,21,47.18
KMI_6414,2006,22,11.37
KMI_6414,2006,23,57.26
KMI_6414,2006,24,8.26
KMI_6414,2007,1,19.79
KMI_6414,2007,2,23.94
KMI_6414,2007,3,24.76
KMI_6414,2007,4,8.08
KMI_6414,2007,5,17.04
KMI_6414,2007,6,13.3
KMI_6414,2007,7,0.0
KMI_6414,2007,8,0.0
KMI_6414,2007,9,12.5
KMI_6414,2007,10,20.44
KMI_6414,2007,11,20.57
KMI_6414,2007,12,786.36
KMI_6414,2007,13,207.98
KMI_6414,2007,14,229.57
KMI_6414,2007,15,11.43
KMI_6414,2007,16,41.77
KMI_6414,2007,17,4.3
KMI_6414,2007,18,138.65
KMI_6414,2007,19,52.19
KMI_6414,2007,20,5.11
KMI_6414,2007,21,8.74
KMI_6414,2007,22,10.02
KMI_6414,2007,23,27.51
KMI_6414,2007,24,1.95
KMI_6414,2008,1,10.66
KMI_6414,2008,2,24.06
KMI_6414,2008,3,30.91
KMI_6414,2008,4,3.85
KMI_6414,2008,5,24.37
KMI_6414,2008,6,18.24
KMI_6414,2008,7,0.77
KMI_6414,2008,8,8.29
KMI_6414,2008,9,197.5
KMI_6414,2008,10,34.16
KMI_6414,2008,11,115.67
KMI_6414,2008,12,0.0
